"dependentType.fqn","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Candidates_for_Interface_Segregation.cypher"
"org.axonframework.config.EventProcessingModule",156,"lambda$null$11,lambda$registerSubscribingEventProcessor$57,lambda$registerTokenStore$53,messageMonitor,lambda$null$33,lambda$new$20,trackingEventProcessor,lambda$new$12,initializeProcessors,registerEventProcessor,lambda$new$15,lambda$registerRollbackConfiguration$61,subscribingEventProcessor,lambda$new$25,transactionManager,lambda$registerEventHandlerInvokers$30,packageOfObject,lambda$eventProcessors$47,validateConfigInitialization,deadLetterQueue,lambda$pooledStreamingEventProcessor$69,defaultEventProcessor,lambda$registerTrackingEventProcessor$51,lambda$usingTrackingEventProcessors$55,processorNameForProcessingGroup,buildEventProcessor,lambda$registerDeadLetterQueue$66,lambda$null$32,lambda$new$7,lambda$registerHandlerInterceptor$59,lambda$registerTrackingEventProcessorConfiguration$64,lambda$new$5,lambda$new$9,lambda$registerSequencingPolicy$60,lambda$new$17,lambda$selectProcessingGroupByType$28,trackingEventProcessorConfig,lambda$new$8,lambda$new$6,lambda$new$16,lambda$new$14,lambda$static$0,registerEventHandlerInvokers,deadLetteringInvoker,lambda$null$31,sequencingPolicy,registerTrackingEventProcessorConfiguration,lambda$null$18,noSagaProcessorCustomization,annotatedProcessingGroupOfType,lambda$registerPooledStreamingEventProcessor$65,lambda$annotatedProcessingGroupOfType$70,lambda$null$41,lambda$new$10,eventProcessors,lambda$usingPooledStreamingEventProcessors$56,simpleInvoker,lambda$null$36,lambda$initializeProcessors$27,registerSagaManagers,lambda$new$22,lambda$new$1,lambda$registerEventHandler$49,lambda$registerSagaManagers$43,lambda$registerEventHandlerInvokers$34,listenerInvocationErrorHandler,deadLetterPolicy,lambda$registerListenerInvocationErrorHandler$50,lambda$sagaConfigurations$48,rollbackConfiguration,lambda$buildEventProcessor$45,lambda$registerTransactionManager$62,selectProcessingGroupByType,retrieveHandlerDefinition,lambda$registerTrackingEventProcessorConfiguration$63,lambda$buildEventProcessor$44,lambda$null$26,lambda$registerDeadLetterPolicy$67,lambda$registerTrackingEventProcessor$52,lambda$new$13,tokenStore,lambda$deadLetteringInvoker$39,lambda$deadLetteringInvoker$38,lambda$new$3,lambda$null$42,registerTrackingEventProcessor,defaultExecutor,lambda$new$4,lambda$new$24,lambda$registerErrorHandler$58,lambda$registerEventHandlerInvokers$37,lambda$null$40,lambda$usingSubscribingEventProcessors$54,lambda$null$35,errorHandler,lambda$selectProcessingGroupByType$29,lambda$null$19,lambda$pooledStreamingEventProcessor$68,lambda$buildEventProcessor$46,lambda$new$21,pooledStreamingEventProcessor,lambda$new$23,lambda$new$2",103,1,""
"org.axonframework.config.DefaultConfigurer",97,"lambda$invokeStartHandlers$49,lambda$defaultParameterResolverFactory$15,prepareMessageHandlerRegistrars,lambda$configureMessageMonitor$29,defaultSnapshotter,registerCommandHandler,lambda$defaultEventGateway$23,defaultResourceInjector,lambda$onShutdown$54,lambda$defaultSnapshotter$26,lambda$registerMessageHandler$39,lambda$defaultConfiguration$4,defaultConfiguration,lambda$null$32,lambda$configureEmbeddedEventStore$42,lambda$jpaConfiguration$7,lambda$invokeInitHandlers$48,lambda$defaultScopeAwareProvider$20,lambda$jpaConfiguration$6,lambda$prepareMessageHandlerRegistrars$47,lambda$defaultCommandBus$18,invokeLifecycleHandlers,jpaConfiguration,lambda$invokeLifecycleHandlers$51,lambda$null$31,lambda$defaultSerializer$24,defaultQueryBus,retrieveHandlerDefinition,lambda$registerCommandHandler$33,lambda$defaultCommandGateway$10,defaultEventBus,defaultComponent,lambda$new$2,lambda$registerMessageHandler$41,lambda$null$36,prepareModules,lambda$jpaConfiguration$5,defaultQueryGateway,registerQueryHandler,lambda$eventProcessing$27,lambda$null$43,lambda$jpaConfiguration$8,lambda$null$25,lambda$defaultDeadlineManager$21,defaultCommandBus,lambda$static$0,defaultUpcasterChain,lambda$new$1,lambda$registerQueryHandler$34,verifyIdentifierFactory,lambda$defaultQueryUpdateEmitter$14,lambda$defaultQueryBus$13,lambda$defaultEventBus$22,lambda$jpaConfiguration$9,lambda$registerMessageHandler$40,lambda$eventProcessing$28,lambda$invokeLifecycleHandlers$52,lambda$prepareModules$45,lambda$defaultQueryGateway$11,lambda$onStart$53,lambda$new$3,lambda$null$17,lambda$null$35,defaultCommandGateway,defaultQueryUpdateEmitter,invokeInitHandlers,defaultEventGateway,lambda$null$46,lambda$defaultResourceInjector$19,registerModule,lambda$registerMessageHandler$38,lambda$defaultHandlerDefinition$16,defaultSerializer,lambda$registerHandlerDefinition$44,defaultHandlerDefinition,defaultParameterResolverFactory,eventProcessing,defaultScopeAwareProvider,registerComponent,defaultSpanFactory,lambda$null$12,invokeShutdownHandlers,lambda$invokeShutdownHandlers$50,defaultDeadlineManager,lambda$registerQueryHandler$37,lambda$registerCommandHandler$30",86,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",85,"aggregateModel,lambda$whenConstructing$4,currentTime,lambda$whenInvoking$6,buildResultValidator,ensureValuesEqual,handleDeadline,lambda$when$7,when,lambda$null$5,lambda$buildResultValidator$9,whenTimeAdvancesTo,failIllegalStateChange,lambda$when$8,lambda$null$3,lambda$when$2,detectIllegalStateChanges,assertValidWorkingAggregateState,andGivenCurrentTime,whenTimeElapses,registerRepository,ensureRepositoryConfiguration,givenCommands,getRepositoryProvider,useStateStorage,given,clearGivenWhenState,lambda$andGivenCommands$1,registerRepositoryProvider,getParameterResolverFactory,executeAtSimulatedTime,registerAggregateCommandHandlers,andGivenCommands,lambda$givenState$0,finalizeConfiguration,registerCommandHandler,registerFieldFilter,andGiven,getHandlerDefinition",40,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl",79,"expectExceptionMessage,expectTriggeredDeadlines,verifyPayloadEquality,expectNoScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineMatching$3,expectScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineWithName$2,expectTriggeredDeadlinesMatching,lambda$expectScheduledDeadlineWithName$0,lambda$expectNoScheduledDeadlineWithName$6,lambda$expectNoScheduledDeadlineWithName$4,expectExceptionDetails,recordException,expectEvents,lambda$expectScheduledDeadlineWithName$1,expectResultMessagePayload,expectResultMessageMatching,expectException,verifyMetaDataEquality,lambda$expectNoScheduledDeadlineMatching$5",24,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",79,"lambda$expectNoScheduledDeadlineMatching$6,expectTriggeredDeadlinesMatching,expectTriggeredDeadlines,expectScheduledEventMatching,expectNoScheduledDeadlineMatching,expectScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineMatching$4,lambda$expectNoScheduledDeadlineWithName$3,lambda$expectNoScheduledDeadlineWithName$7,lambda$expectScheduledDeadlineWithName$2,lambda$registerStartRecordingCallback$0,lambda$expectScheduledDeadlineWithName$1,lambda$expectNoScheduledDeadlineWithName$5,expectNoScheduledEventMatching",20,1,""
"org.axonframework.config.DefaultConfigurer",66,"access$1100,access$1300,defaultComponent,access$500,access$800,access$400,invokeStartHandlers,access$1200,access$600,access$900,access$1400,access$700,access$200,access$300,invokeShutdownHandlers,access$1500,access$1000",17,1,""
"org.axonframework.config.DefaultConfigurer$ConfigurationImpl",57,"isEarlierPhaseDuringShutdown,lambda$registerLifecycleHandler$2,lambda$null$0,isEarlierPhaseDuringStartUp,lambda$getComponent$1,registerLifecycleHandler",6,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",56,"registerStartRecordingCallback,startRecording",2,1,""
"org.axonframework.test.saga.SagaTestFixture",55,"lambda$null$0,getCommandBus,registerFieldFilter,getPublisherFor,currentTime,givenAggregate,timeCorrectedEventMessage,getParameterResolverFactory,handleDeadline,ensureSagaResourcesInitialized,lambda$handleInSaga$1,handleInSaga,registerResource,registerCommandGateway,getResourceInjector,getHandlerDefinition",16,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl",53,"recordException,assertValidRecording",2,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",51,"access$700,access$602,access$800,access$600,access$900",5,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",50,"commitAsRoot,lambda$start$3,notifyHandlers,lambda$start$1,setRollbackCause,lambda$rollback$7,setPhase,lambda$null$2,lambda$rollback$8,changePhase,commitAsNested,lambda$commit$5,addHandler,phase,delegateAfterCommitToParent,lambda$start$0,lambda$commit$4,onRollback,lambda$commitAsNested$6",19,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",48,"access$1100",1,1,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor",44,"calculateIdentifier,lambda$new$2,resetTokens,lambda$getTokenStoreIdentifier$3,lambda$calculateIdentifier$4,lambda$null$1,lambda$resetTokens$5,shutdownAsync,lambda$null$8,lambda$resetTokens$10,spawnWorker,lambda$statusUpdater$13,isRunning,lambda$singleStatusUpdater$12,lambda$null$9,statusUpdater,lambda$null$11,singleStatusUpdater,lambda$resetTokens$6,lambda$null$7,releaseSegment,lambda$new$0,supportsReset,start",27,1,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue",41,"lambda$enqueue$3,lambda$findNextDeadLetter$11,lambda$clear$13,lambda$toLetter$8,toLetter,lambda$enqueue$0,lambda$deadLetterSequence$5,lambda$amountOfSequences$16,toStringSequenceIdentifier,lambda$deadLetters$6,evict,lambda$toLetter$7,lambda$enqueue$2,getMaxIndexForSequence,findNextDeadLetter,requeue,entityManager,amountOfSequences,claimDeadLetter,lambda$claimDeadLetter$12,getNextIndexForSequence,processLetterAndFollowing,lambda$findFirstLetterOfEachAvailableSequence$10,lambda$sequenceSize$14,findFirstLetterOfEachAvailableSequence,lambda$processLetterAndFollowing$9,lambda$size$15,lambda$evict$4,lambda$getMaxIndexForSequence$17,sequenceSize,isFull,lambda$enqueue$1,getProcessingStartedLimit",33,1,""
"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue",41,"requeue,lambda$claimDeadLetter$12,lambda$clear$13,lambda$deadLetters$6,amountOfSequences,findFirstLetterOfEachAvailableSequence,lambda$toLetter$8,lambda$getMaxIndexForSequence$17,lambda$enqueue$2,isFull,lambda$amountOfSequences$16,processLetterAndFollowing,toStringSequenceIdentifier,evict,findNextDeadLetter,getNextIndexForSequence,lambda$size$15,lambda$enqueue$1,sequenceSize,toLetter,lambda$findFirstLetterOfEachAvailableSequence$10,lambda$enqueue$3,lambda$sequenceSize$14,lambda$processLetterAndFollowing$9,lambda$deadLetterSequence$5,lambda$enqueue$0,lambda$toLetter$7,entityManager,lambda$findNextDeadLetter$11,claimDeadLetter,lambda$evict$4,getMaxIndexForSequence,getProcessingStartedLimit",33,1,""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter",40,"lambda$registerDispatchInterceptor$11,lambda$null$16,lambda$registerUpdateHandler$4,lambda$null$13,lambda$complete$9,doEmit,lambda$registerUpdateHandler$2,lambda$emit$8,runOnAfterCommitOrNow,lambda$completeExceptionally$10,lambda$registerUpdateHandler$1,doCompleteExceptionally,lambda$doEmit$12,lambda$emit$5,lambda$null$7,lambda$null$18,lambda$doComplete$17,payloadMatchesQueryResponseType,lambda$null$6,lambda$runOnAfterCommitOrNow$21,lambda$registerUpdateHandler$3,lambda$doEmit$14,doComplete,lambda$null$20,lambda$payloadMatchesQueryResponseType$15,lambda$doCompleteExceptionally$19,inStartedPhaseOfUnitOfWork,lambda$queryUpdateHandlerRegistered$0,emitError,intercept",31,1,""
"org.axonframework.test.saga.SagaTestFixture",37,"currentTime,access$300,handleInSaga",3,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",35,"lambda$andThenApply$13,doApply,findHandlerAndHandleCommand,registerRoot,handle,applyMessageOrPayload,andThen,lambda$handle$5,publishOnEventBus,lambda$createMessage$12,lambda$findHandlerAndHandleCommand$10,initSequence,lambda$doApply$11,lambda$registerRoot$0,lambda$execute$2,lambda$handle$7,lambda$findHandlerAndHandleCommand$9,lambda$handle$3,rootType,lambda$invoke$1,publish,lambda$handle$4,createMessage,lambda$handle$6,lambda$null$8,initialize",30,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",34,"rollback",1,1,""
"org.axonframework.config.Configuration",32,"aggregateConfiguration,lambda$eventProcessingConfiguration$4,lambda$eventProcessingConfiguration$3,lambda$findModules$0,lambda$aggregateConfiguration$7,lambda$aggregateConfiguration$6,lambda$findModules$1,lambda$aggregateConfiguration$5,lambda$getComponent$8,getComponent,findModules,getModules,lambda$resourceInjector$2,eventBus",15,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",31,"access$1500,access$1300,access$1000,access$1600,getState,access$600,access$900,access$2000,access$1700,access$1800,doSleepFor,access$2200,access$800,access$700,access$1400,access$1100,access$2100,access$1200",18,1,""
"org.axonframework.config.Configurer",29,"eventProcessing,registerQueryHandler,registerComponent,buildConfiguration,registerModule,configureMessageMonitor,lambda$configureMessageMonitor$0,registerCommandHandler,lambda$configureMessageMonitor$1,configureAggregate",11,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",28,"access$1500,access$1300,access$1000,getState,access$900,access$800,processingLoop,access$1400,access$1100,access$1200",10,1,""
"org.axonframework.config.Configuration",27,"handlerDefinition,messageMonitor,spanFactory,eventBus,correlationDataProviders,getComponent,parameterResolverFactory",7,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",27,"access$600,access$700",2,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",26,"access$1000,access$2000,access$800,releaseSegment",4,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",26,"access$1000,access$2000,access$800",3,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",26,"builder",1,1,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor",26,"builder",1,1,""
"org.axonframework.modelling.saga.AnnotatedSaga",26,"lambda$handle$7,lambda$invoke$1,lambda$handle$8,lambda$execute$2,lambda$canHandle$4,canHandle,lambda$null$3,lambda$null$5,getAssociationValues,lambda$handle$6,handle,lambda$new$0",13,1,""
"org.axonframework.config.Configuration",25,"upcasterChain,eventSerializer,eventStore,queryBus,serializer,repository,handlerDefinition,getComponent,messageMonitor,commandBus,findModules,scopeAwareProvider,spanFactory,eventBus,correlationDataProviders,messageSerializer,parameterResolverFactory,snapshotFilter",19,1,""
"org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue",25,"builder,lambda$enqueue$0,toIdentifier,lambda$process$3,isFull,lambda$requeue$2,maximumNumberOfSequencesReached,lambda$clear$7,getLastTouchedSequence,lambda$process$5,lambda$evict$1,evict,maximumSequenceSizeReached,lambda$process$4,requeue,contains,lambda$process$6",17,1,""
"org.axonframework.queryhandling.DefaultQueryGateway",25,"lambda$query$1,lambda$query$2,lambda$query$0,processInterceptors,lambda$streamingQuery$3,getSubscriptionQueryResult,lambda$getSubscriptionQueryResult$5,lambda$streamingQuery$4,lambda$registerDispatchInterceptor$8,getSubscriptionQueryMessage,lambda$getSubscriptionQueryResult$6,lambda$getSubscriptionQueryResult$7",12,1,""
"org.axonframework.eventhandling.TrackerStatus",24,"advancedTo,isCaughtUp,isErrorState,markError,caughtUp,getSegment,unmarkError",7,1,""
"org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler",23,"shutdown,schedule,publishEventMessage,lambda$publishEventMessage$0,schedulePayload,createMessage,publish,publishWithRevision,lambda$schedulePayload$66ef0dda$1,lambda$schedulePayloadAndMetadata$3b5ac046$1,lambda$schedulePayloadAndMetadata$efde5fa1$1,schedulePayloadAndMetadata,lambda$schedulePayload$edc2443f$1",16,1,""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore",23,"lambda$fetchAvailableSegments$2,loadToken,lambda$retrieveStorageIdentifier$3,initializeTokenSegments,getConfig,lambda$fetchAvailableSegments$1,lambda$fetchSegments$0,validateSegment,fetchSegments",10,1,""
"org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore",23,"lambda$retrieveStorageIdentifier$3,fetchSegments,getConfig,lambda$fetchSegments$0,lambda$fetchAvailableSegments$2,loadToken,lambda$fetchAvailableSegments$1,initializeTokenSegments,validateSegment",10,1,""
"org.axonframework.test.deadline.StubDeadlineManager",23,"processDispatchInterceptors,lambda$cancelSchedule$0,lambda$registerHandlerInterceptor$4,advanceTimeTo,lambda$registerDispatchInterceptor$3,lambda$consumeDeadline$5,advanceToNextTrigger,schedule,consumeDeadline,lambda$cancelAll$1,lambda$cancelAllWithinScope$2",11,1,""
"org.axonframework.eventhandling.ReplayToken",22,"createReplayToken,context,lambda$getTokenAtReset$2,isReplay,lambda$isReplay$0,advancedTo,lambda$replayContext$1,replayContext,getTokenAtReset",11,1,""
"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore",22,"lambda$doAppendEvents$1,lambda$subscribe$3,openStream,lambda$publish$0,lambda$registerDispatchInterceptor$4,doAppendEvents,injectAggregateIdentifier,lambda$doAppendEvents$2",8,1,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus",21,"lambda$initializePublisherThreads$0,createRepository,lambda$subscribe$5,initializeInvokerThreads,lambda$dispatch$2,lambda$initializeInvokerThreads$1,lambda$registerHandlerInterceptor$7,lambda$subscribe$4,initializePublisherThreads,dispatch,doDispatch,lambda$doDispatch$3,lambda$registerDispatchInterceptor$6",16,1,""
"org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine$ConcatenatingDomainEventStream",21,"initActiveIfRequired,nextSequenceNumber,next",3,1,""
"org.axonframework.eventhandling.TrackerStatus",19,"split,isReplaying,mergeCompletedPosition,isCaughtUp,getTrackingToken,isErrorState,getError,getResetPosition,getSegment,getCurrentPosition,isMerging",11,1,""
"org.axonframework.eventhandling.TrackerStatus",19,"advancedTo,isErrorState,markError",3,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine",19,"storeSnapshot,readEventData,isFirstDomainEvent,lambda$readSnapshot$0,appendEvents,getSnapshotSerializer,readSnapshotData,getEventSerializer,buildExceptionMessage,lambda$readSnapshot$1",11,1,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventConsumer",19,"nextAvailable,stopTailingGlobalStream,lambda$closePrivateStream$0,closePrivateStream,nextNode,behindGlobalCache,peekGlobalStream,peek,peekPrivateStream,lastToken",10,1,""
"org.axonframework.messaging.GenericResultMessage",19,"isExceptional,findExceptionResult,andMetaData,getPayload,withMetaData",5,1,""
"org.axonframework.modelling.saga.AnnotatedSaga",19,"root,getAssociationValues,isActive,getSagaIdentifier",4,1,""
"org.axonframework.test.deadline.StubDeadlineManager",19,"getCurrentDateTime,getScheduledDeadlines,getTriggeredDeadlines",3,1,""
"org.axonframework.tracing.MultiSpanFactory$MultiSpan",19,"lambda$recordException$1,lambda$makeCurrent$0",2,1,""
"org.axonframework.eventhandling.tokenstore.inmemory.InMemoryTokenStore",18,"lambda$storeToken$0,fetchSegments,initializeTokenSegments,lambda$fetchSegments$1",4,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore",18,"lambda$stagedDomainEventMessages$0,stagedDomainEventMessages,handleSnapshotReadingError,lambda$readEvents$3,lambda$stagedDomainEventMessages$1,lambda$stagedDomainEventMessages$2",6,1,""
"org.axonframework.eventsourcing.eventstore.FilteringDomainEventStream",18,"next,hasNext",2,1,""
"org.axonframework.eventsourcing.eventstore.IteratorBackedDomainEventStream",18,"readNext,next",2,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",18,"access$100,access$000",2,1,""
"org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember",18,"lambda$handle$2,lambda$handle$0,lambda$handle$3,lambda$handle$1",4,1,""
"org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember",18,"upperBound,lambda$new$0,queryResultType,unwrapType",4,1,""
"org.axonframework.tracing.LoggingSpanFactory",18,"lambda$createInternalSpan$8,lambda$null$6,lambda$getSpanMessage$4,lambda$createDispatchSpan$2,lambda$createHandlerSpan$1,lambda$createInternalSpan$7,lambda$getSpanMessage$3,getSpanMessage,lambda$null$5,lambda$createRootTrace$0",10,1,""
"org.axonframework.tracing.NoOpSpanFactory$NoOpSpan",18,"lambda$makeCurrent$0",1,1,""
"org.axonframework.commandhandling.MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember",17,"lambda$new$0",1,1,""
"org.axonframework.common.caching.WeakReferenceCache",17,"lambda$removeAll$2,lambda$get$1,lambda$containsKey$3,lambda$registerCacheEntryListener$0,purgeItems,lambda$computeIfPresent$4",6,1,""
"org.axonframework.config.SagaConfigurer$SagaConfigurationImpl",17,"lambda$ensureInitialized$3,lambda$eventProcessor$0,ensureInitialized,initialize,lambda$initialize$1,lambda$initialize$2,processingGroup",7,1,""
"org.axonframework.deadline.AbstractDeadlineManager",17,"lambda$registerDispatchInterceptor$1,lambda$runOnPrepareCommitOrNow$0,lambda$registerHandlerInterceptor$2,dispatchInterceptors",4,1,""
"org.axonframework.eventhandling.MergedTrackingToken",17,"mergePosition,lambda$mergePosition$0,lambda$mergePosition$1,doAdvance",5,1,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$MultiSourceBlockingStream",17,"peekForMessages,lambda$setOnAvailableCallback$4,nextAvailable,lambda$peekForMessages$2,messageSource,lambda$doConsumeNext$1,skipMessagesWithPayloadTypeOf,lambda$setOnAvailableCallback$5,lambda$skipMessagesWithPayloadTypeOf$3,lambda$new$0,doConsumeNext",11,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"split,getTrackingToken,getSegment",3,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getTrackingToken,split,getSegment",3,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getInternalTrackingToken,getSegment",2,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"caughtUp",1,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getSegment",1,1,""
"org.axonframework.modelling.command.inspection.ForwardingCommandMessageHandlingMember",17,"canForward",1,1,""
"org.axonframework.queryhandling.DefaultQueryGateway",17,"builder",1,1,""
"org.axonframework.commandhandling.GenericCommandResultMessage",16,"asCommandResultMessage",2,1,""
"org.axonframework.config.Configuration",16,"eventStore,repository,handlerDefinition,commandBus,spanFactory,eventBus,getComponent,parameterResolverFactory",8,1,""
"org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition$DeadlineMethodMessageHandlingMember",16,"deadlineNameMatch,deadlineNameMatchesAll",2,1,""
"org.axonframework.eventhandling.AbstractEventProcessor",16,"processInUnitOfWork,lambda$null$2,lambda$registerHandlerInterceptor$0,lambda$processInUnitOfWork$3,getSpanName,lambda$null$1,getName",7,1,""
"org.axonframework.eventhandling.MergedTrackingToken",16,"lowerSegmentToken,isMergeInProgress,mergePosition,position,upperSegmentToken",5,1,""
"org.axonframework.eventhandling.ReplayToken",16,"createReplayToken,lowerBound,position,getTokenAtReset,isReplay",6,1,""
