"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.test.matchers","matchers",0.02805089702906704,61,51,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.027366466535226713,15,67,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.027190665313219176,9,119,""
"org.axonframework.messaging.responsetypes","responsetypes",0.02680748537590546,78,65,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.026390735229873397,25,317,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.02621026345714607,12,86,""
"org.axonframework.eventsourcing","eventsourcing",0.026038217555478124,134,976,""
"org.axonframework.lifecycle","lifecycle",0.02545614634784375,71,10,""
"org.axonframework.messaging.correlation","correlation",0.025188321910130502,25,14,""
"org.axonframework.eventhandling.scheduling","scheduling",0.024896431557706853,20,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.024255525982003655,30,80,""
"org.axonframework.commandhandling.callbacks","callbacks",0.023948962336953816,8,39,""
"org.axonframework.common.lock","lock",0.023948012253983488,46,25,""
"org.axonframework.common.jpa","jpa",0.02362721073951503,16,6,""
"org.axonframework.messaging.interceptors","interceptors",0.023516151427687,10,119,""
"org.axonframework.serialization.upcasting","upcasting",0.023301189468980125,11,5,""
"org.axonframework.test.deadline","deadline",0.02218545427984033,10,138,""
"org.axonframework.common.legacyjpa","legacyjpa",0.02217963721635336,14,6,""
"org.axonframework.common.property","property",0.02216319567414337,23,15,""
"org.axonframework.eventhandling.async","async",0.022134833084092878,41,76,""
"org.axonframework.modelling.saga.repository","repository",0.022111864813913328,72,231,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.021697574250863112,12,34,""
"org.axonframework.serialization.xml","xml",0.0216537253670035,17,28,""
"org.axonframework.eventhandling.replay","replay",0.021251505162327624,12,72,""
"org.axonframework.commandhandling.gateway","gateway",0.020990841050812812,97,443,""
"org.axonframework.common.caching","caching",0.02088872003771186,37,49,""
"org.axonframework.test.eventscheduler","eventscheduler",0.020832168440742253,9,38,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.02075683640073335,23,17,""
"org.axonframework.test.utils","utils",0.020593061989826245,8,70,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.020580651438169145,9,236,""
"org.axonframework.eventhandling.pooled","pooled",0.020516221284255735,52,1022,""
"org.axonframework.eventhandling.deadletter","deadletter",0.02046333041423222,9,386,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.020440177586650992,5,15,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.020372729329419248,15,99,""
"org.axonframework.queryhandling.registration","registration",0.020073022044064907,9,13,""
"org.axonframework.deadline.jobrunr","jobrunr",0.020067834896160357,5,433,""
"org.axonframework.common.digest","digest",0.02006134768964211,2,1,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.01988153084397351,55,1487,""
"org.axonframework.eventhandling.gateway","gateway",0.019855085408961748,11,52,""
"org.axonframework.queryhandling.annotation","annotation",0.019775749103926474,4,199,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.019722858233902952,2,25,""
"org.axonframework.test.aggregate","aggregate",0.019696412798891193,31,2223,""
"org.axonframework.deadline.annotation","annotation",0.019696412798891193,6,29,""
"org.axonframework.tracing.attributes","attributes",0.019696412798891193,0,43,""
"org.axonframework.config","config",0.019696412798891193,115,7974,""
"org.axonframework.serialization.converters","converters",0.019696412798891193,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.019696412798891193,6,503,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.019696412798891193,6,213,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.019696412798891193,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0.019696412798891193,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0.019696412798891193,5,76,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.019696412798891193,16,136,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.019696412798891193,34,581,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.019696412798891193,16,195,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.019696412798891193,3,209,""
"org.axonframework.serialization.json","json",0.019696412798891193,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.019696412798891193,23,375,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.019696412798891193,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.019696412798891193,3,81,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.019696412798891193,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.019696412798891193,2,106,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.019696412798891193,1,27,""
"org.axonframework.deadline.quartz","quartz",0.019696412798891193,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.019696412798891193,10,202,""
"org.axonframework.test.saga","saga",0.019696412798891193,43,1375,""
"org.axonframework.test.server","server",0.019696412798891193,1,2,""
