"dependentType.fqn","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Candidates_for_Interface_Segregation.cypher"
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",17,"initialize,getAggregateRoot,initSequence",4,2,""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter",17,"builder",1,2,""
"org.axonframework.commandhandling.CommandMessageHandlingMember",14,"isFactoryHandler,commandName",2,2,""
"org.axonframework.commandhandling.GenericCommandResultMessage",14,"asCommandResultMessage",2,2,""
"org.axonframework.deadline.DeadlineMessage",14,"getDeadlineName",1,2,""
"org.axonframework.messaging.GenericResultMessage",14,"asResultMessage",1,2,""
"org.axonframework.messaging.annotation.WrappedMessageHandlingMember",14,"handle",1,2,""
"org.axonframework.eventhandling.DomainEventMessage",13,"getAggregateIdentifier,getSequenceNumber",2,2,""
"org.axonframework.eventhandling.ReplayToken",13,"createReplayToken",1,2,""
"org.axonframework.queryhandling.SubscriptionQueryMessage",12,"getUpdateResponseType",1,2,""
"org.axonframework.commandhandling.GenericCommandMessage",11,"asCommandMessage",1,2,""
"org.axonframework.eventhandling.DomainEventMessage",11,"getSequenceNumber",1,2,""
"org.axonframework.eventhandling.TrackedEventMessage",11,"trackingToken",1,2,""
"org.axonframework.eventhandling.TrackedEventMessage",11,"trackingToken,withTrackingToken",2,2,""
"org.axonframework.eventhandling.GenericEventMessage",10,"describeTo",1,2,""
"org.axonframework.messaging.ResultMessage",10,"exceptionResult,isExceptional",2,2,""
"org.axonframework.commandhandling.gateway.DefaultCommandGateway",9,"builder",1,2,""
"org.axonframework.config.Configuration",9,"getComponent",1,2,""
"org.axonframework.eventhandling.EventMessage",9,"andMetaData",1,2,""
"org.axonframework.commandhandling.AnnotationCommandHandlerAdapter",6,"subscribe",1,2,""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory",5,"currentInterceptorChain",1,2,""
"org.axonframework.serialization.ChainingConverter",5,"registerConverter",1,2,""
"org.axonframework.serialization.SimpleSerializedObject",4,"getType",1,2,""
"org.axonframework.config.EventProcessingModule",160,"lambda$registerTransactionManager$65,lambda$null$38,registerPooledStreamingEventProcessorConfiguration,subscribingEventProcessor,pooledStreamingEventProcessor,lambda$static$0,lambda$null$44,lambda$registerDeadLetterPolicy$70,lambda$registerHandlerInterceptor$62,trackingEventProcessor,registerDeadLetterQueue,defaultExecutor,trackingEventProcessorConfig,lambda$null$33,lambda$registerSequencingPolicy$63,lambda$static$1,lambda$registerTrackingEventProcessorConfiguration$67,lambda$null$45,registerTrackingEventProcessorConfiguration,lambda$null$35,lambda$null$43,lambda$null$13,lambda$null$34,lambda$pooledStreamingEventProcessor$71,annotatedProcessingGroupOfType,lambda$registerDeadLetterQueue$69,lambda$pooledStreamingEventProcessor$72,lambda$registerPooledStreamingEventProcessor$68,lambda$null$20,lambda$null$21,lambda$registerRollbackConfiguration$64,lambda$null$28,lambda$annotatedProcessingGroupOfType$73,lambda$null$37,lambda$registerTrackingEventProcessorConfiguration$66,lambda$new$26,lambda$selectProcessingGroupByType$30,lambda$new$19,initializeProcessors,tokenStore,rollbackConfiguration,lambda$new$10,lambda$registerEventHandlerInvokers$36,lambda$initializeProcessors$29,lambda$registerEventHandlerInvokers$39,buildEventProcessor,retrieveHandlerDefinition,registerDefaultDeadLetterQueueIfPresent,selectProcessingGroupByType,lambda$new$4,transactionManager,lambda$new$5,lambda$registerSubscribingEventProcessor$60,lambda$eventProcessors$50,processorNameForProcessingGroup,lambda$new$27,lambda$registerTrackingEventProcessor$54,lambda$registerSagaManagers$46,lambda$new$16,lambda$new$24,lambda$buildEventProcessor$47,addInterceptors,lambda$new$18,lambda$new$8,lambda$deadLetteringInvoker$41,noTepCustomization,simpleInvoker,registerSagaManagers,lambda$new$17,lambda$addInterceptors$48,deadLetteringInvoker,errorHandler,lambda$registerDefaultDeadLetterQueueIfPresent$40,packageOfObject,registerEventHandlerInvokers,lambda$new$7,registerTrackingEventProcessor,sequencingPolicy,messageMonitor,lambda$new$22,lambda$registerTrackingEventProcessor$55,lambda$new$3,lambda$new$9,lambda$new$14,lambda$new$25,registerEventProcessor,lambda$registerListenerInvocationErrorHandler$53,deadLetterPolicy,lambda$usingSubscribingEventProcessors$57,eventProcessors,lambda$registerEventHandler$52,lambda$registerErrorHandler$61,lambda$new$12,noPsepCustomization,lambda$registerEventHandlerInvokers$32,deadLetterQueue,lambda$new$2,lambda$sagaConfigurations$51,lambda$selectProcessingGroupByType$31,lambda$new$11,lambda$deadLetteringInvoker$42,lambda$addInterceptors$49,listenerInvocationErrorHandler,lambda$new$23,validateConfigInitialization,lambda$new$15,lambda$usingPooledStreamingEventProcessors$59,lambda$new$6,lambda$registerTokenStore$56,lambda$usingTrackingEventProcessors$58,defaultEventProcessor",111,1,""
"org.axonframework.config.DefaultConfigurer",97,"lambda$defaultSnapshotter$26,lambda$prepareMessageHandlerRegistrars$47,lambda$null$25,lambda$null$31,lambda$null$32,lambda$invokeInitHandlers$48,lambda$null$12,lambda$prepareModules$45,lambda$invokeStartHandlers$49,lambda$invokeShutdownHandlers$50,lambda$null$36,lambda$null$46,lambda$invokeLifecycleHandlers$52,lambda$invokeLifecycleHandlers$51,lambda$onStart$53,lambda$null$35,invokeLifecycleHandlers,invokeInitHandlers,lambda$null$17,lambda$static$0,lambda$onShutdown$54,lambda$null$43,defaultUpcasterChain,defaultScopeAwareProvider,lambda$defaultHandlerDefinition$16,defaultQueryUpdateEmitter,defaultSerializer,lambda$registerMessageHandler$39,lambda$defaultResourceInjector$19,lambda$defaultSerializer$24,defaultQueryBus,defaultConfiguration,lambda$jpaConfiguration$5,registerModule,lambda$registerHandlerDefinition$44,lambda$defaultQueryGateway$11,lambda$defaultScopeAwareProvider$20,lambda$jpaConfiguration$6,defaultHandlerDefinition,lambda$eventProcessing$28,defaultSpanFactory,lambda$defaultQueryUpdateEmitter$14,defaultEventGateway,lambda$configureEmbeddedEventStore$42,registerCommandHandler,verifyIdentifierFactory,registerQueryHandler,eventProcessing,lambda$registerCommandHandler$33,lambda$defaultQueryBus$13,lambda$registerMessageHandler$40,lambda$configureMessageMonitor$29,invokeShutdownHandlers,lambda$new$1,lambda$defaultParameterResolverFactory$15,registerComponent,defaultResourceInjector,lambda$registerMessageHandler$38,jpaConfiguration,lambda$registerQueryHandler$37,lambda$defaultEventBus$22,defaultQueryGateway,lambda$new$3,lambda$new$2,lambda$registerMessageHandler$41,defaultSnapshotter,lambda$registerCommandHandler$30,defaultParameterResolverFactory,prepareModules,lambda$defaultCommandGateway$10,lambda$defaultEventGateway$23,lambda$eventProcessing$27,prepareMessageHandlerRegistrars,defaultCommandGateway,lambda$jpaConfiguration$7,defaultCommandBus,lambda$defaultDeadlineManager$21,retrieveHandlerDefinition,lambda$defaultCommandBus$18,defaultDeadlineManager,defaultEventBus,lambda$jpaConfiguration$8,lambda$defaultConfiguration$4,lambda$jpaConfiguration$9,lambda$registerQueryHandler$34,defaultComponent",86,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",85,"lambda$null$3,lambda$null$5,when,lambda$when$2,andGivenCurrentTime,buildResultValidator,detectIllegalStateChanges,whenTimeElapses,lambda$whenConstructing$4,lambda$buildResultValidator$9,lambda$whenInvoking$6,aggregateModel,lambda$when$7,ensureValuesEqual,whenTimeAdvancesTo,lambda$when$8,assertValidWorkingAggregateState,failIllegalStateChange,currentTime,handleDeadline,registerRepository,registerRepositoryProvider,given,clearGivenWhenState,lambda$givenState$0,getParameterResolverFactory,getRepositoryProvider,registerAggregateCommandHandlers,getHandlerDefinition,registerFieldFilter,useStateStorage,lambda$andGivenCommands$1,andGiven,andGivenCommands,givenCommands,ensureRepositoryConfiguration,registerCommandHandler,finalizeConfiguration,executeAtSimulatedTime",40,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl",79,"expectExceptionMessage,expectTriggeredDeadlines,verifyPayloadEquality,expectNoScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineMatching$3,expectScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineWithName$2,expectTriggeredDeadlinesMatching,lambda$expectScheduledDeadlineWithName$0,lambda$expectNoScheduledDeadlineWithName$6,lambda$expectNoScheduledDeadlineWithName$4,expectExceptionDetails,recordException,expectEvents,lambda$expectScheduledDeadlineWithName$1,expectResultMessagePayload,expectResultMessageMatching,expectException,verifyMetaDataEquality,lambda$expectNoScheduledDeadlineMatching$5",24,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",79,"expectTriggeredDeadlines,expectTriggeredDeadlinesMatching,lambda$expectScheduledDeadlineWithName$1,lambda$registerStartRecordingCallback$0,lambda$expectNoScheduledDeadlineMatching$6,expectScheduledDeadlineMatching,expectScheduledEventMatching,lambda$expectNoScheduledDeadlineMatching$4,expectNoScheduledEventMatching,expectNoScheduledDeadlineMatching,lambda$expectNoScheduledDeadlineWithName$3,lambda$expectNoScheduledDeadlineWithName$5,lambda$expectNoScheduledDeadlineWithName$7,lambda$expectScheduledDeadlineWithName$2",20,1,""
"org.axonframework.config.DefaultConfigurer",66,"access$1500,access$1100,access$400,access$600,access$500,access$900,access$800,invokeShutdownHandlers,access$1200,access$200,access$1300,access$1400,access$300,invokeStartHandlers,access$1000,defaultComponent,access$700",17,1,""
"org.axonframework.config.DefaultConfigurer$ConfigurationImpl",57,"lambda$registerLifecycleHandler$2,lambda$getComponent$1,lambda$null$0,registerLifecycleHandler,isEarlierPhaseDuringStartUp,isEarlierPhaseDuringShutdown",6,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",56,"startRecording,registerStartRecordingCallback",2,1,""
"org.axonframework.test.saga.SagaTestFixture",55,"registerFieldFilter,registerCommandGateway,getCommandBus,lambda$null$0,lambda$handleInSaga$1,timeCorrectedEventMessage,registerResource,givenAggregate,getParameterResolverFactory,getPublisherFor,getResourceInjector,getHandlerDefinition,currentTime,handleInSaga,handleDeadline,ensureSagaResourcesInitialized",16,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl",53,"recordException,assertValidRecording",2,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",51,"access$700,access$900,access$600,access$602,access$800",5,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",50,"onRollback,lambda$rollback$7,lambda$start$0,lambda$rollback$8,phase,lambda$start$1,setPhase,delegateAfterCommitToParent,changePhase,addHandler,commitAsRoot,setRollbackCause,notifyHandlers,commitAsNested,lambda$start$3,lambda$commit$5,lambda$commit$4,lambda$null$2,lambda$commitAsNested$6",19,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",48,"access$1100",1,1,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor",44,"resetTokens,releaseSegment,singleStatusUpdater,lambda$null$1,lambda$new$0,lambda$new$2,lambda$getTokenStoreIdentifier$3,isRunning,statusUpdater,lambda$resetTokens$5,lambda$null$11,lambda$null$8,lambda$singleStatusUpdater$12,supportsReset,lambda$resetTokens$6,start,shutdownAsync,lambda$resetTokens$10,lambda$statusUpdater$13,spawnWorker,lambda$calculateIdentifier$4,lambda$null$9,calculateIdentifier,lambda$null$7",27,1,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue",41,"lambda$toLetter$8,sequenceSize,findNextDeadLetter,lambda$enqueue$2,lambda$clear$13,findFirstLetterOfEachAvailableSequence,lambda$amountOfSequences$16,evict,lambda$enqueue$0,toStringSequenceIdentifier,entityManager,isFull,toLetter,lambda$evict$4,lambda$claimDeadLetter$12,amountOfSequences,lambda$findFirstLetterOfEachAvailableSequence$10,lambda$toLetter$7,getNextIndexForSequence,lambda$findNextDeadLetter$11,claimDeadLetter,lambda$deadLetters$6,processLetterAndFollowing,lambda$sequenceSize$14,getProcessingStartedLimit,lambda$deadLetterSequence$5,lambda$getMaxIndexForSequence$17,lambda$processLetterAndFollowing$9,lambda$enqueue$3,getMaxIndexForSequence,lambda$enqueue$1,requeue,lambda$size$15",33,1,""
"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue",41,"lambda$enqueue$2,toStringSequenceIdentifier,amountOfSequences,claimDeadLetter,getMaxIndexForSequence,lambda$findFirstLetterOfEachAvailableSequence$10,lambda$claimDeadLetter$12,lambda$findNextDeadLetter$11,isFull,getProcessingStartedLimit,lambda$processLetterAndFollowing$9,lambda$deadLetterSequence$5,lambda$enqueue$3,lambda$clear$13,getNextIndexForSequence,lambda$toLetter$8,findFirstLetterOfEachAvailableSequence,toLetter,entityManager,lambda$toLetter$7,evict,lambda$size$15,lambda$evict$4,lambda$enqueue$1,lambda$enqueue$0,findNextDeadLetter,lambda$sequenceSize$14,requeue,lambda$amountOfSequences$16,lambda$deadLetters$6,lambda$getMaxIndexForSequence$17,processLetterAndFollowing,sequenceSize",33,1,""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter",40,"lambda$registerUpdateHandler$4,emitError,lambda$doCompleteExceptionally$19,lambda$registerUpdateHandler$1,doCompleteExceptionally,lambda$registerDispatchInterceptor$11,doEmit,lambda$emit$5,lambda$null$13,lambda$null$20,lambda$doComplete$17,lambda$null$6,runOnAfterCommitOrNow,lambda$null$16,lambda$doEmit$12,lambda$null$18,lambda$emit$8,lambda$complete$9,payloadMatchesQueryResponseType,lambda$runOnAfterCommitOrNow$21,lambda$payloadMatchesQueryResponseType$15,lambda$doEmit$14,inStartedPhaseOfUnitOfWork,lambda$queryUpdateHandlerRegistered$0,lambda$completeExceptionally$10,lambda$null$7,intercept,doComplete,lambda$registerUpdateHandler$3,lambda$registerUpdateHandler$2",31,1,""
"org.axonframework.test.saga.SagaTestFixture",37,"access$300,currentTime,handleInSaga",3,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",35,"lambda$handle$6,createMessage,rootType,publish,lambda$handle$4,lambda$execute$2,lambda$andThenApply$13,handle,doApply,registerRoot,lambda$invoke$1,lambda$registerRoot$0,initialize,lambda$handle$3,applyMessageOrPayload,lambda$findHandlerAndHandleCommand$10,lambda$handle$5,andThen,initSequence,findHandlerAndHandleCommand,lambda$null$8,publishOnEventBus,lambda$findHandlerAndHandleCommand$9,lambda$doApply$11,lambda$handle$7,lambda$createMessage$12",30,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",34,"rollback",1,1,""
"org.axonframework.config.Configuration",32,"getModules,eventBus,lambda$eventProcessingConfiguration$3,lambda$resourceInjector$2,lambda$aggregateConfiguration$7,lambda$findModules$0,lambda$aggregateConfiguration$6,lambda$findModules$1,lambda$eventProcessingConfiguration$4,lambda$getComponent$8,getComponent,findModules,aggregateConfiguration,lambda$aggregateConfiguration$5",15,1,""
"org.axonframework.config.Configurer",29,"registerCommandHandler,lambda$configureMessageMonitor$0,buildConfiguration,eventProcessing,registerComponent,configureMessageMonitor,configureAggregate,registerQueryHandler,lambda$configureMessageMonitor$1,registerModule",11,1,""
"org.axonframework.config.Configuration",27,"handlerDefinition,messageMonitor,spanFactory,eventBus,parameterResolverFactory,correlationDataProviders,getComponent",7,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",26,"builder",1,1,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor",26,"builder",1,1,""
"org.axonframework.modelling.saga.AnnotatedSaga",26,"lambda$handle$6,lambda$new$0,lambda$null$3,canHandle,lambda$execute$2,lambda$null$5,handle,lambda$handle$7,lambda$canHandle$4,getAssociationValues,lambda$handle$8,lambda$invoke$1",13,1,""
"org.axonframework.config.Configuration",25,"handlerDefinition,upcasterChain,messageMonitor,spanFactory,eventBus,parameterResolverFactory,scopeAwareProvider,snapshotFilter,repository,eventStore,queryBus,correlationDataProviders,getComponent,serializer,messageSerializer,findModules,eventSerializer,commandBus",19,1,""
"org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue",25,"getLastTouchedSequence,lambda$process$3,lambda$clear$7,maximumSequenceSizeReached,toIdentifier,maximumNumberOfSequencesReached,evict,lambda$requeue$2,lambda$evict$1,lambda$process$6,requeue,lambda$process$5,builder,lambda$process$4,isFull,contains,lambda$enqueue$0",17,1,""
"org.axonframework.queryhandling.DefaultQueryGateway",25,"lambda$registerDispatchInterceptor$8,lambda$query$2,lambda$streamingQuery$3,lambda$query$0,lambda$streamingQuery$4,lambda$query$1,processInterceptors,getSubscriptionQueryMessage,getSubscriptionQueryResult,lambda$getSubscriptionQueryResult$5,lambda$getSubscriptionQueryResult$7,lambda$getSubscriptionQueryResult$6",12,1,""
"org.axonframework.eventhandling.TrackerStatus",24,"markError,unmarkError,isErrorState,isCaughtUp,advancedTo,caughtUp,getSegment",7,1,""
"org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler",23,"addDetailsFromObject,lambda$addDetailsFromObject$515c35f2$1,shutdown,lambda$addDetailsFromObject$98640057$1,publishWithRevision,createMessage,publishEventMessage,lambda$publishEventMessage$0,lambda$addDetailsFromEvent$8cace316$1,lambda$addDetailsFromEvent$1f732a71$1,addDetailsFromEvent,publish,schedule",16,1,""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore",23,"lambda$retrieveStorageIdentifier$3,lambda$fetchAvailableSegments$1,loadToken,lambda$fetchAvailableSegments$2,lambda$fetchSegments$0,getConfig,validateSegment,fetchSegments,initializeTokenSegments",10,1,""
"org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore",23,"validateSegment,getConfig,lambda$retrieveStorageIdentifier$3,lambda$fetchAvailableSegments$2,loadToken,fetchSegments,lambda$fetchAvailableSegments$1,initializeTokenSegments,lambda$fetchSegments$0",10,1,""
"org.axonframework.test.deadline.StubDeadlineManager",23,"lambda$registerDispatchInterceptor$3,processDispatchInterceptors,lambda$cancelSchedule$0,lambda$cancelAllWithinScope$2,advanceToNextTrigger,schedule,consumeDeadline,advanceTimeTo,lambda$consumeDeadline$5,lambda$registerHandlerInterceptor$4,lambda$cancelAll$1",11,1,""
"org.axonframework.eventhandling.ReplayToken",22,"advancedTo,createReplayToken,context,getTokenAtReset,isReplay,lambda$isReplay$0,lambda$getTokenAtReset$2,lambda$replayContext$1,replayContext",11,1,""
"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore",22,"lambda$registerDispatchInterceptor$4,injectAggregateIdentifier,lambda$doAppendEvents$1,lambda$doAppendEvents$2,doAppendEvents,lambda$publish$0,openStream,lambda$subscribe$3",8,1,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus",21,"lambda$registerHandlerInterceptor$7,createRepository,initializeInvokerThreads,dispatch,lambda$dispatch$2,lambda$initializeInvokerThreads$1,initializePublisherThreads,lambda$registerDispatchInterceptor$6,lambda$subscribe$5,lambda$doDispatch$3,doDispatch,lambda$initializePublisherThreads$0,lambda$subscribe$4",16,1,""
"org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine$ConcatenatingDomainEventStream",21,"initActiveIfRequired,nextSequenceNumber,next",3,1,""
"org.axonframework.eventhandling.TrackerStatus",19,"markError,isErrorState,advancedTo",3,1,""
"org.axonframework.eventhandling.TrackerStatus",19,"isMerging,isErrorState,isReplaying,getTrackingToken,isCaughtUp,getError,getResetPosition,mergeCompletedPosition,getCurrentPosition,getSegment,split",11,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine",19,"storeSnapshot,getEventSerializer,readEventData,getSnapshotSerializer,isFirstDomainEvent,readSnapshotData,appendEvents,lambda$readSnapshot$1,buildExceptionMessage,lambda$readSnapshot$0",11,1,""
"org.axonframework.eventsourcing.eventstore.ConcatenatingDomainEventStream",19,"lambda$getLastSequenceNumber$0,next,hasNext",3,1,""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventConsumer",19,"stopTailingGlobalStream,peekPrivateStream,lastToken,nextAvailable,lambda$closePrivateStream$0,behindGlobalCache,closePrivateStream,nextNode,peek,peekGlobalStream",10,1,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventConsumer",19,"lastToken,behindGlobalCache,peekGlobalStream,peekPrivateStream,nextNode,stopTailingGlobalStream,nextAvailable,closePrivateStream,peek,lambda$closePrivateStream$0",10,1,""
"org.axonframework.messaging.GenericResultMessage",19,"withMetaData,getPayload,findExceptionResult,isExceptional,andMetaData",5,1,""
"org.axonframework.modelling.saga.AnnotatedSaga",19,"getSagaIdentifier,isActive,getAssociationValues,root",4,1,""
"org.axonframework.test.deadline.StubDeadlineManager",19,"getCurrentDateTime,getScheduledDeadlines,getTriggeredDeadlines",3,1,""
"org.axonframework.tracing.MultiSpanFactory$MultiSpan",19,"lambda$makeCurrent$0,lambda$recordException$1",2,1,""
"org.axonframework.eventhandling.deadletter.jdbc.DefaultDeadLetterStatementFactory",18,"setIdFields,setDomainEventFields,setEventFields,sequenceSizeStatement,setTrackedEventFields,setDeadLetterFields",8,1,""
"org.axonframework.eventhandling.tokenstore.inmemory.InMemoryTokenStore",18,"fetchSegments,initializeTokenSegments,lambda$storeToken$0,lambda$fetchSegments$1",4,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore",18,"lambda$stagedDomainEventMessages$1,lambda$stagedDomainEventMessages$0,stagedDomainEventMessages,lambda$readEvents$3,lambda$stagedDomainEventMessages$2,handleSnapshotReadingError",6,1,""
"org.axonframework.eventsourcing.eventstore.FilteringDomainEventStream",18,"next,hasNext",2,1,""
"org.axonframework.eventsourcing.eventstore.IteratorBackedDomainEventStream",18,"readNext,next",2,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",18,"access$000,access$100",2,1,""
"org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember",18,"lambda$handle$0,lambda$handle$3,lambda$handle$2,lambda$handle$1",4,1,""
"org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember",18,"lambda$new$0,queryResultType,upperBound,unwrapType",4,1,""
"org.axonframework.tracing.LoggingSpanFactory",18,"lambda$getSpanMessage$4,lambda$createHandlerSpan$1,lambda$createDispatchSpan$2,lambda$getSpanMessage$3,lambda$createInternalSpan$7,lambda$null$6,lambda$null$5,lambda$createRootTrace$0,getSpanMessage,lambda$createInternalSpan$8",10,1,""
"org.axonframework.tracing.NoOpSpanFactory$NoOpSpan",18,"lambda$makeCurrent$0",1,1,""
"org.axonframework.commandhandling.MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember",17,"lambda$new$0",1,1,""
"org.axonframework.common.caching.WeakReferenceCache",17,"lambda$removeAll$2,purgeItems,lambda$get$1,lambda$containsKey$3,lambda$computeIfPresent$4,lambda$registerCacheEntryListener$0",6,1,""
"org.axonframework.config.SagaConfigurer$SagaConfigurationImpl",17,"ensureInitialized,initialize,processingGroup,lambda$initialize$1,lambda$ensureInitialized$3,lambda$eventProcessor$0,lambda$initialize$2",7,1,""
"org.axonframework.deadline.AbstractDeadlineManager",17,"lambda$registerHandlerInterceptor$2,dispatchInterceptors,lambda$runOnPrepareCommitOrNow$0,lambda$registerDispatchInterceptor$1",4,1,""
"org.axonframework.eventhandling.MergedTrackingToken",17,"doAdvance,mergePosition,lambda$mergePosition$1,lambda$mergePosition$0",5,1,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$MultiSourceBlockingStream",17,"messageSource,lambda$peekForMessages$2,lambda$doConsumeNext$1,doConsumeNext,peekForMessages,lambda$setOnAvailableCallback$5,lambda$skipMessagesWithPayloadTypeOf$3,lambda$setOnAvailableCallback$4,nextAvailable,lambda$new$0,skipMessagesWithPayloadTypeOf",11,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getTrackingToken,getSegment,split",3,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getTrackingToken,split,getSegment",3,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"caughtUp",1,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getInternalTrackingToken,getSegment",2,1,""
"org.axonframework.eventhandling.TrackerStatus",17,"getSegment",1,1,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream$2",17,"next",1,1,""
"org.axonframework.queryhandling.DefaultQueryGateway",17,"builder",1,1,""
"org.axonframework.commandhandling.GenericCommandResultMessage",16,"asCommandResultMessage",2,1,""
"org.axonframework.config.Configuration",16,"handlerDefinition,spanFactory,eventBus,parameterResolverFactory,repository,eventStore,getComponent,commandBus",8,1,""
"org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition$DeadlineMethodMessageHandlingMember",16,"deadlineNameMatch,deadlineNameMatchesAll",2,1,""
"org.axonframework.eventhandling.AbstractEventProcessor",16,"getName,lambda$null$1,getSpanName,lambda$registerHandlerInterceptor$0,lambda$processInUnitOfWork$3,lambda$null$2,processInUnitOfWork",7,1,""
"org.axonframework.eventhandling.MergedTrackingToken",16,"lowerSegmentToken,mergePosition,isMergeInProgress,position,upperSegmentToken",5,1,""
"org.axonframework.eventhandling.ReplayToken",16,"lowerBound,getTokenAtReset,createReplayToken,isReplay,position",6,1,""
"org.axonframework.eventhandling.deadletter.jdbc.JdbcDeadLetter",16,"getSequenceIdentifier,getIdentifier,getSequenceIndex",3,1,""
"org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue",16,"deadLetterSequence",1,1,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue",16,"deadLetterSequence",1,1,""
"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue",16,"deadLetterSequence",1,1,""
