"artifactName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Package_Dependencies.cypher"
"axon-test-4.9.3","org.axonframework.test",16,114,15,0,6,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution",15,46,7,0,2,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel",15,60,9,1,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa",14,70,13,0,6,2,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter",12,22,6,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay",12,30,8,0,2,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa",12,72,5,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway",11,41,5,1,2,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting",11,26,11,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.io",10,21,10,0,8,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter",10,69,5,1,2,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz",10,45,4,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors",10,16,8,0,5,2,""
"axon-test-4.9.3","org.axonframework.test.deadline",10,117,6,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa",9,89,4,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa",9,134,5,0,3,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa",9,40,4,0,3,1,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration",9,16,5,0,2,0,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler",9,66,5,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks",8,24,7,0,4,1,""
"axon-test-4.9.3","org.axonframework.test.utils",8,24,6,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler",7,85,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler",7,79,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.json",7,24,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation",6,10,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr",5,28,3,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz",5,28,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java",5,29,3,0,1,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory",5,23,5,0,3,2,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation",4,12,4,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.util",4,12,4,0,3,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr",3,21,2,0,1,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa",3,15,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.digest",2,2,2,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory",2,19,2,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa",2,15,2,0,1,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa",2,14,2,0,1,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory",1,3,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation",1,2,1,0,1,0,""
"axon-test-4.9.3","org.axonframework.test.server",1,1,1,0,1,0,""
"axon-disruptor-4.9.3","org",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org",0,0,0,0,0,-1,""
"axon-test-4.9.3","org",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework.disruptor",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes",0,0,0,0,0,-1,""
