"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.modelling.saga.repository.jpa","jpa",2,12,86,""
"org.axonframework.common.property","property",2,23,15,""
"org.axonframework.eventhandling.tokenstore","tokenstore",2,69,42,""
"org.axonframework.eventhandling.scheduling","scheduling",1.8333333333333333,20,2,""
"org.axonframework.common.digest","digest",1.3333333333333333,2,1,""
"org.axonframework.commandhandling.distributed","distributed",1,50,752,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",1,25,317,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",1,9,119,""
"org.axonframework.test.utils","utils",1,8,70,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.5,2,25,""
"org.axonframework.common.lock","lock",0.5,46,25,""
"org.axonframework.test.aggregate","aggregate",0,31,2223,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.common.caching","caching",0,37,49,""
"org.axonframework.commandhandling.callbacks","callbacks",0,8,39,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0,12,34,""
"org.axonframework.disruptor.commandhandling","commandhandling",0,55,1487,""
"org.axonframework.common","common",0,917,23,""
"org.axonframework.config","config",0,115,7974,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0,6,503,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0,6,213,""
"org.axonframework.eventhandling.deadletter","deadletter",0,9,386,""
"org.axonframework.messaging.deadletter","deadletter",0,198,105,""
"org.axonframework.eventhandling.gateway","gateway",0,11,52,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.common.io","io",0,10,0,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,16,136,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0,34,581,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,209,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.eventhandling.pooled","pooled",0,52,1022,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,43,1375,""
"org.axonframework.test.server","server",0,1,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,30,80,""
"org.axonframework.common.stream","stream",0,29,5,""
"org.axonframework.common.transaction","transaction",0,310,6,""
"org.axonframework.serialization.upcasting","upcasting",0,11,5,""
